phenomenon,condition,framing,js_divergence,js_distance,kl_rsa_llm,kl_llm_rsa,spearman_rho,spearman_p
scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.0519,0.2277,0.261,0.1821,1.0,0.0
scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.0519,0.2277,0.261,0.1821,1.0,0.0
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.0898,0.2997,0.492,0.9834,0.866,0.3333
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.0791,0.2813,0.4637,0.2652,1.0,0.0
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.1162,0.3409,0.6114,0.4144,0.9428,0.0572
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.0507,0.2251,0.2231,0.1927,0.9428,0.0572
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.0891,0.2984,0.4309,0.3262,0.9428,0.0572
polite_speech,state_1,second_person,0.6655,0.8158,21.3276,4.9683,-0.809,0.015
polite_speech,state_1,first_person,0.3609,0.6007,15.1872,1.3216,-0.0314,0.9412
polite_speech,state_1,third_person,0.3701,0.6084,15.0399,1.5829,-0.3573,0.3849
polite_speech,state_2,second_person,0.679,0.824,21.9884,5.5022,-0.5018,0.2052
polite_speech,state_2,first_person,0.4385,0.6622,5.0887,2.423,0.2377,0.5709
polite_speech,state_2,third_person,0.6009,0.7751,7.784,5.1568,-0.2058,0.6249
polite_speech,state_3,second_person,0.1676,0.4093,3.7125,0.5921,0.7527,0.0312
polite_speech,state_3,first_person,0.2629,0.5127,12.2587,0.8709,0.4978,0.2093
polite_speech,state_3,third_person,0.2629,0.5127,12.2587,0.8709,0.4978,0.2093
polite_speech,state_4,second_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311
polite_speech,state_4,first_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311
polite_speech,state_4,third_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311
polite_speech,state_5,second_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311
polite_speech,state_5,first_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311
polite_speech,state_5,third_person,0.0322,0.1794,1.6769,0.0941,0.7683,0.0259
