phenomenon,condition,framing,js_divergence,js_distance,kl_rsa_llm,kl_llm_rsa,spearman_rho,spearman_p,n_matched,js_boot_mean,js_ci_low,js_ci_high,js_boot_std,llm_ci_low,llm_ci_high
scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]"
scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.0519,0.2277,0.261,0.1821,1.0,0.0,25,0.0617,0.0115,0.1323,0.0348,"[0.0, 0.0, 0.8, 0.0]","[0.0, 0.2, 1.0, 0.0]"
scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]"
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.0519,0.2277,0.261,0.1821,1.0,0.0,25,0.0619,0.0115,0.1323,0.0335,"[0.0, 0.0, 0.0, 0.8]","[0.2, 0.0, 0.0, 1.0]"
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333,25,0.1323,0.1323,0.1323,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.0898,0.2997,0.492,0.9834,0.866,0.3333,25,0.0996,0.0335,0.1645,0.0366,"[0.8, 0.0, 0.0]","[1.0, 0.12, 0.12]"
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.0791,0.2813,0.4637,0.2652,1.0,0.0,25,0.0885,0.0335,0.1323,0.0362,"[0.88, 0.0, 0.0]","[1.0, 0.0, 0.12]"
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.1162,0.3409,0.6114,0.4144,0.9428,0.0572,25,0.124,0.0507,0.2158,0.0461,"[0.8, 0.0, 0.0, 0.0]","[1.0, 0.2, 0.0, 0.0]"
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.0507,0.2251,0.2231,0.1927,0.9428,0.0572,25,0.0587,0.01,0.1527,0.0345,"[0.64, 0.04, 0.0, 0.0]","[0.96, 0.36, 0.0, 0.0]"
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.0891,0.2984,0.4309,0.3262,0.9428,0.0572,25,0.095,0.0257,0.2158,0.0432,"[0.72, 0.0, 0.0, 0.0]","[1.0, 0.28, 0.0, 0.0]"
polite_speech,state_1,second_person,0.6655,0.8158,21.3276,4.9683,-0.809,0.015,25,0.669,0.663,0.6768,0.0046,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0]","[0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 1.0, 0.0]"
polite_speech,state_1,first_person,0.3609,0.6007,15.1872,1.3216,-0.0314,0.9412,25,0.3618,0.3593,0.3705,0.0035,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.88]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 1.0]"
polite_speech,state_1,third_person,0.3701,0.6084,15.0399,1.5829,-0.3573,0.3849,25,0.3742,0.357,0.4013,0.011,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]","[0.0, 0.0, 0.12, 0.0, 0.0, 0.24, 0.2, 0.92]"
polite_speech,state_2,second_person,0.679,0.824,21.9884,5.5022,-0.5018,0.2052,25,0.679,0.6787,0.6797,0.0003,"[0.0, 0.0, 0.52, 0.0, 0.0, 0.0, 0.12, 0.0]","[0.0, 0.0, 0.88, 0.0, 0.0, 0.0, 0.48, 0.0]"
polite_speech,state_2,first_person,0.4385,0.6622,5.0887,2.423,0.2377,0.5709,25,0.4535,0.3448,0.5269,0.0563,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.44]","[0.0, 0.0, 0.16, 0.0, 0.0, 0.12, 0.44, 0.8]"
polite_speech,state_2,third_person,0.6009,0.7751,7.784,5.1568,-0.2058,0.6249,25,0.6122,0.5071,0.6797,0.0595,"[0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.56, 0.0]","[0.0, 0.0, 0.421, 0.0, 0.0, 0.12, 0.88, 0.0]"
polite_speech,state_3,second_person,0.1676,0.4093,3.7125,0.5921,0.7527,0.0312,25,0.1737,0.1065,0.2629,0.0428,"[0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.2, 0.0]"
polite_speech,state_3,first_person,0.2629,0.5127,12.2587,0.8709,0.4978,0.2093,25,0.2629,0.2629,0.2629,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
polite_speech,state_3,third_person,0.2629,0.5127,12.2587,0.8709,0.4978,0.2093,25,0.2629,0.2629,0.2629,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
polite_speech,state_4,second_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311,25,0.1566,0.1566,0.1566,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
polite_speech,state_4,first_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311,25,0.1566,0.1566,0.1566,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
polite_speech,state_4,third_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311,25,0.1566,0.1566,0.1566,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
polite_speech,state_5,second_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311,25,0.0891,0.0891,0.0891,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
polite_speech,state_5,first_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311,25,0.0891,0.0891,0.0891,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
polite_speech,state_5,third_person,0.0322,0.1794,1.6769,0.0941,0.7683,0.0259,25,0.0374,0.0322,0.0524,0.0084,"[0.0, 0.0, 0.0, 0.04, 0.699, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.301, 0.96, 0.0, 0.0, 0.0]"
