omega_i,alpha,mean_js
0.0,1.0,0.3959563206770163
0.0,3.0,0.45531495068647704
0.0,5.0,0.5092556085098396
0.1,1.0,0.3790354889224574
0.1,3.0,0.39794349526006284
0.1,5.0,0.42723071055635503
0.2,1.0,0.3646466830823688
0.2,3.0,0.3501399439700438
0.2,5.0,0.3478872926636086
0.3,1.0,0.3542074202008814
0.3,3.0,0.32245640038635126
0.3,5.0,0.31823277069290845
0.4,1.0,0.3492486757987376
0.4,3.0,0.3026116171831736
0.4,5.0,0.29213709900998935
0.5,1.0,0.3505073742859036
0.5,3.0,0.29921547480544963
0.5,5.0,0.276663074130183
0.6,1.0,0.35684579107138087
0.6,3.0,0.3077723454501875
0.6,5.0,0.28808895688829456
0.7,1.0,0.36577984783542666
0.7,3.0,0.3178771129045279
0.7,5.0,0.29960404712746863
0.8,1.0,0.3751351392160647
0.8,3.0,0.3292139071738285
0.8,5.0,0.3114697220791342
0.9,1.0,0.3838629118743793
0.9,3.0,0.34212042648751545
0.9,5.0,0.3258627529351338
1.0,1.0,0.39178927996766993
1.0,3.0,0.3566909122499754
1.0,5.0,0.34449807809801136
